@relation MERGED_STAGGERED_test!-weka.filters.unsupervised.attribute.Remove-R69

@attribute 1 numeric
@attribute 2 numeric
@attribute 3 numeric
@attribute 4 numeric
@attribute 5 numeric
@attribute LLE1 numeric
@attribute LLE2 numeric
@attribute LLE3 numeric
@attribute LLE4 numeric
@attribute LLE5 numeric
@attribute LLE6 numeric
@attribute LTSA1 numeric
@attribute LTSA2 numeric
@attribute LTSA3 numeric
@attribute LTSA4 numeric
@attribute LTSA5 numeric
@attribute LTSA6 numeric
@attribute Mod_LLE1 numeric
@attribute Mod_LLE2 numeric
@attribute Mod_LLE3 numeric
@attribute Mod_LLE4 numeric
@attribute Mod_LLE5 numeric
@attribute Mod_LLE6 numeric
@attribute Isomap1 numeric
@attribute Isomap2 numeric
@attribute Isomap3 numeric
@attribute Isomap4 numeric
@attribute Isomap5 numeric
@attribute Isomap6 numeric
@attribute MDS1 numeric
@attribute MDS2 numeric
@attribute MDS3 numeric
@attribute MDS4 numeric
@attribute MDS5 numeric
@attribute MDS6 numeric
@attribute SE1 numeric
@attribute SE2 numeric
@attribute SE3 numeric
@attribute SE4 numeric
@attribute SE5 numeric
@attribute SE6 numeric
@attribute tSNE1 numeric
@attribute tSNE2 numeric
@attribute tSNE3 numeric
@attribute tSNE4 numeric
@attribute tSNE5 numeric
@attribute tSNE6 numeric
@attribute blosum62_val1 numeric
@attribute blosum62_val2 numeric
@attribute blosum62_val3 numeric
@attribute blosum62_val4 numeric
@attribute blosum62_val5 numeric
@attribute blosum62_val6 numeric
@attribute tip_pos numeric
@attribute protrusion numeric
@attribute length numeric
@attribute total_charge numeric
@attribute nr_charged numeric
@attribute Happiness_mean numeric
@attribute Nr_sad numeric
@attribute identity numeric
@attribute similarity numeric
@attribute Hydropathy numeric
@attribute Hydropathy_diff numeric
@attribute Access numeric
@attribute Relacc numeric
@attribute Scacc numeric
@attribute Screlacc numeric
@attribute simlength numeric
@attribute local_CA_nom {>0<1,>1<2,>4<50,>2<3,>3<4}

@data
0,0,0,0,0,-0.288673,-0.288676,-0.288675,0.576315,-0.288675,0.578384,-0.007985,-0.00428,-0.00428,-0.999698,0.001407,-0.022385,-0.238839,-0.34751,-0.335426,0.573442,-0.225944,0.574278,-0.050756,14.485144,-6.269284,-9.841769,11.518433,-9.841769,-11.687155,-5.760703,-5.760703,5.116128,6.461366,11.631068,0.011707,-0.220721,-0.220721,0.46515,-0.326967,0.46515,-2585.554443,-1499.269043,1870.703003,576.056946,-536.179626,576.056946,6.523992,12.291944,12.291944,2.04341,9.284708,2.04341,98,7.466117,13,-1,1,0.925,0,0.846,0.843,0.49,0,428.692,262.848,349.393,265.102,0.064846,>0<1
1,0.75,0,0,0,-0.307913,-0.314858,0.599671,-0.082702,-0.412939,0.518739,-0.094635,-0.108538,0.716384,-0.00886,-0.663754,0.159403,-0.268728,-0.302241,0.614778,-0.158414,-0.404662,0.519267,-9.090899,-2.540785,12.434371,0.35449,-11.831345,10.674169,2.374381,4.240499,11.24986,-4.472067,-12.438856,-0.953817,-0.293582,-0.240608,0.401014,0.086604,-0.396484,0.361918,-346.800079,-270.136292,-240.962204,-320.941772,-376.022339,-295.918365,4.184284,3.024399,11.490571,5.987266,1.30678,10.637245,99,5.213565,7,-1,1,0.809,1,0.571,0.429,1.13,0,319.452,191.153,277.998,210.182,0.061286,>1<2
1,1,1,1,1,-0.468417,0.572613,-0.080933,-0.185137,0.527464,-0.36559,0,0,0,0,0,1,0.345067,-0.524948,-0.110821,0.22805,-0.48786,0.550512,1.771034,-7.202235,-2.868208,0.981192,-7.677094,14.995311,4.046779,-5.348342,-8.483688,1.392674,-5.348342,13.740919,-0.240608,0.361918,0.086604,-0.293582,0.401014,-0.396484,-1321.211182,-83.020905,767.946289,316.398621,-869.741516,-470.338531,7.512297,12.691474,10.731683,5.871641,12.691474,-0.898576,99,6.600435,22,-1,3,0.899,0,0.364,0.213,-1.01,0,698.366,472.836,544.545,435.002,0.009682,>4<50
1,1,0.5,0,0,-0.137682,-0.33862,0.576787,-0.215087,-0.433039,0.547641,-0.201286,-0.270961,0.334942,-0.313002,-0.310812,0.76112,-0.257163,-0.295278,0.641255,-0.275749,-0.32003,0.506965,0.701703,10.891518,-13.774,1.344915,13.953597,-13.117734,6.886106,3.71123,-2.929614,11.810644,-12.031645,-7.446721,0.019222,-0.23271,0.461085,-0.189129,-0.320592,0.461085,-150.882355,-211.70784,-85.100197,-180.832077,-120.003967,-246.605042,7.366815,10.828249,-0.642824,9.991373,11.547171,-0.427509,101,5.23295,11,-1,1,0.904,0,0.636,0.524,-0.35,0,187.742,128.768,153.045,136.156,0.047636,>2<3
1,1,0.5,0,0,-0.268254,-0.305698,-0.237372,0.58563,-0.339818,0.565512,0.218689,0.184628,0.193804,-0.90891,0.209764,0.102025,-0.199315,-0.371779,-0.315199,0.616397,-0.256419,0.526315,-8.1251,-0.59372,-5.867922,15.445906,-13.260891,12.401726,6.604375,1.953774,-12.257392,-2.175313,-8.228661,14.103217,-0.065984,-0.27403,-0.065984,0.475346,-0.27403,0.475346,4.332527,-121.701042,134.287262,-251.652634,281.200165,-398.55722,6.463342,10.152667,10.659935,1.616892,10.917812,0.32639,99,8.071984,10,-1,1,0.947,0,0.4,0.107,0.82,0,156.467,94.956,114.893,79.902,0.0107,>2<3
1,1,0.25,0,0,0.513863,0.083858,0.076704,-0.550643,-0.515851,0.392069,0.42823,-0.217806,0.581709,0.464109,0.464109,0,0.271139,0.305461,-0.268772,-0.472296,-0.429797,0.594264,2.884408,1.3749,-3.296392,-8.157639,-8.87406,16.068783,-10.709471,7.404288,-6.453196,-1.894444,8.915196,2.737626,0.308889,0.308889,-0.213102,-0.213102,-0.308889,0.447731,2759.279541,-1860.204346,632.64209,-520.120544,-520.120544,1631.485107,6.722292,8.378798,10.239353,12.643221,12.643221,-1.318468,101,5.533811,11,-1,3,0.827,0,0.455,0.417,-1.74,0,140.513,72.973,125.005,80.774,0.037909,>2<3
1,1,0.75,0,0,-0.268204,-0.427258,0.525895,0.07319,-0.430847,0.527225,-0.185503,-0.375041,0.522748,0.078253,-0.542112,0.501655,-0.071507,-0.427707,0.49515,0.107572,-0.576087,0.47258,0.694286,10.433842,-10.335889,-2.856264,12.399914,-10.335889,-6.566209,5.007637,10.88605,2.151602,-12.346714,0.867635,0.174517,0.338739,-0.338739,-0.174517,0.359974,-0.359974,-119.81781,-83.816719,-102.09317,-63.26609,-158.602905,-138.006897,6.968194,7.347629,8.335427,10.880893,6.997152,8.335427,98,5.673271,16,2,4,0.894,0,0.375,0.219,-1.17,0,410.93,238.148,314.838,210.329,0.013687,>2<3
0,0,0,0,0,0.470772,-0.19413,0.444574,0.249895,-0.552882,-0.418228,0.002373,0.002373,0.002373,0.999986,0.002373,0.002373,-0.444112,-0.047278,-0.529246,0.003603,0.468285,0.548748,-0.046427,4.847323,0.37129,19.08555,-10.408905,-13.84883,10.966519,-7.287071,2.229579,10.199291,-12.87866,-3.229659,-0.009578,-0.168214,-0.258946,-0.258946,0.449508,0.640739,1125.10376,731.200256,382.734009,44.813103,-303.664429,-697.602417,3.733666,10.068777,3.95118,12.917729,5.888992,6.602537,99,6.275289,18,-2,4,0.904,0,0.889,0.873,-1.85,0,959.678,538.149,799.774,552.78,0.0485,>0<1
1,1,1,0,0,0.039491,0.502438,-0.391791,-0.323716,-0.399339,0.572916,-0.17209,-0.153401,-0.191574,-0.184525,-0.21045,0.912039,-0.213801,0.431534,-0.2859,-0.305452,-0.324674,0.698294,0.005283,9.910125,-10.972779,-1.771082,-11.095052,13.923505,-2.331233,-6.144334,2.17535,4.498323,-11.616898,13.418792,0.086604,0.361918,-0.293582,-0.240608,-0.396484,0.401014,-257.25293,75.858315,-36.300892,-384.041962,202.647507,-145.093262,7.873166,8.78619,10.044231,6.052998,10.399891,2.861933,101,5.130563,13,0,2,0.91,0,0.538,0.402,-0.1,0,301.803,191.692,270.92,201.495,0.030923,>3<4
1,1,1,0.5,0,-0.289715,0.640672,-0.250637,-0.308322,-0.299788,0.50779,0.178198,-0.912435,0.184568,0.195191,0.196167,0.158312,-0.322235,0.651124,-0.235716,-0.326041,-0.25988,0.492748,-2.008824,15.079422,-7.106908,-5.059059,-14.671238,13.766606,0.143583,8.021313,-12.453188,-6.773519,13.35579,-2.293979,-0.065984,0.475346,-0.065984,-0.27403,-0.27403,0.475346,253.672104,-550.922058,31.846367,-354.683533,-164.387299,-772.760376,3.066141,16.650111,5.898343,1.572272,0.434381,10.231924,101,6.087747,16,-3,3,0.874,1,0.5,0.316,-1.45,0,1118.709,587.463,983.597,604.261,0.01975,>3<4
