@relation 'new_2-weka.filters.unsupervised.attribute.Remove-R50,54-58,60-62,82,84-85-weka.filters.unsupervised.attribute.NumericToNominal-R53-weka.filters.unsupervised.attribute.Remove-R73-weka.filters.unsupervised.attribute.Remove-R61-62-weka.filters.unsupervised.attribute.Remove-R67-70-weka.filters.unsupervised.attribute.Remove-R57-weka.filters.unsupervised.attribute.Remove-R1'

@attribute LLE1 numeric
@attribute LLE2 numeric
@attribute LLE3 numeric
@attribute LLE4 numeric
@attribute LLE5 numeric
@attribute LLE6 numeric
@attribute LTSA1 numeric
@attribute LTSA2 numeric
@attribute LTSA3 numeric
@attribute LTSA4 numeric
@attribute LTSA5 numeric
@attribute LTSA6 numeric
@attribute Mod_LLE1 numeric
@attribute Mod_LLE2 numeric
@attribute Mod_LLE3 numeric
@attribute Mod_LLE4 numeric
@attribute Mod_LLE5 numeric
@attribute Mod_LLE6 numeric
@attribute Isomap1 numeric
@attribute Isomap2 numeric
@attribute Isomap3 numeric
@attribute Isomap4 numeric
@attribute Isomap5 numeric
@attribute Isomap6 numeric
@attribute MDS1 numeric
@attribute MDS2 numeric
@attribute MDS3 numeric
@attribute MDS4 numeric
@attribute MDS5 numeric
@attribute MDS6 numeric
@attribute SE1 numeric
@attribute SE2 numeric
@attribute SE3 numeric
@attribute SE4 numeric
@attribute SE5 numeric
@attribute SE6 numeric
@attribute tSNE1 numeric
@attribute tSNE2 numeric
@attribute tSNE3 numeric
@attribute tSNE4 numeric
@attribute tSNE5 numeric
@attribute tSNE6 numeric
@attribute blosum62_val1 numeric
@attribute blosum62_val2 numeric
@attribute blosum62_val3 numeric
@attribute blosum62_val4 numeric
@attribute blosum62_val5 numeric
@attribute blosum62_val6 numeric
@attribute tip_pos numeric
@attribute tip_res {S,D,R,W,F,P,G,Y,H,V,E,I,L,N,A,C,T,Q,K,M}
@attribute protrusion numeric
@attribute local_CA_nom {1,2,3,4,5}
@attribute length numeric
@attribute total_charge numeric
@attribute nr_charged numeric
@attribute Nr_sad numeric
@attribute identity numeric
@attribute similarity numeric
@attribute Hydropathy numeric
@attribute Hydropathy_diff numeric
@attribute Access numeric
@attribute Relacc numeric
@attribute Scacc numeric
@attribute Screlacc numeric
@attribute simlength numeric

@data
0.288678,-0.576486,0.288672,0.288672,-0.578213,0.288677,0.853699,0.334631,-0.170007,-0.170007,-0.138728,0.286654,-0.288677,0.577097,-0.288674,-0.288674,0.577603,-0.288676,12.268827,-9.583476,-1.157379,-1.157379,-9.583476,9.212883,1.825742,-8.836001,-0.369181,8.207263,4.541301,-5.369124,-0.226118,0.480616,-0.045249,-0.226118,0.480616,-0.24205,1342.34668,297.619507,-907.679626,-907.679626,2522.150391,-2307.879883,6.385284,11.220538,11.336258,11.336258,11.220538,4.486788,99,S,5.847808,3,14,-2,2,0,0.5,0.375,-0.75,0.23,570.686,384.537,418.914,359.097,0.026786
0.486236,0.484248,-0.512369,-0.510382,-0.022352,0.074619,0,-0,0.707107,0.707107,0,0,-0.485333,-0.484945,0.511627,0.511239,0.022549,-0.075137,-4.167572,8.046955,4.633996,-10.596683,-12.424689,14.507992,3.915297,-8.981525,-4.834769,-4.834769,1.248755,13.487011,-0.158114,-0.316228,0.158114,0.316228,0.474342,-0.474342,-235.404877,-366.470825,239.619781,108.741478,-119.485947,-7.069576,7.821876,7.821876,11.730101,11.730101,9.495372,1.477003,101,D,5.266815,1,12,1,3,3,0.917,0.912,-1.76,0,592.824,356.858,449.239,280.097,0.076
-0.406107,0.133917,-0.404678,0.513855,0.515122,-0.352109,0,0,0,0,0,1,0.310662,-0.209977,0.307602,-0.488203,-0.471532,0.551448,3.003914,-2.596283,0.256994,-8.082898,-8.832362,16.250636,0.098068,2.923839,0.098068,-8.934513,-8.934513,14.749051,0.308447,-0.141092,0.308447,-0.308447,-0.308447,0.423276,2944.457764,1845.210205,-1564.996216,-254.875565,-254.875565,870.576904,7.740955,10.802126,7.740955,12.229023,12.229023,-1.28391,99,R,5.2992,1,8,1,5,2,0.875,0.911,-5.09,0,248.535,130.294,200.543,121.429,0.113875
-0.288673,-0.288676,-0.288675,0.576315,-0.288675,0.578384,-0.007985,-0.00428,-0.00428,-0.999698,0.001407,-0.022385,-0.238839,-0.34751,-0.335426,0.573442,-0.225944,0.574278,-0.050756,14.485144,-6.269284,-9.841769,11.518433,-9.841769,-11.687155,-5.760703,-5.760703,5.116128,6.461366,11.631068,0.011707,-0.220721,-0.220721,0.46515,-0.326967,0.46515,-2585.554443,-1499.269043,1870.703003,576.056946,-536.179626,576.056946,6.523992,12.291944,12.291944,2.04341,9.284708,2.04341,98,W,7.466117,1,13,-1,1,0,0.846,0.843,0.49,0,428.692,262.848,349.393,265.102,0.064846
-0.307913,-0.314858,0.599671,-0.082702,-0.412939,0.518739,-0.094635,-0.108538,0.716384,-0.00886,-0.663754,0.159403,-0.268728,-0.302241,0.614778,-0.158414,-0.404662,0.519267,-9.090899,-2.540785,12.434371,0.35449,-11.831345,10.674169,2.374381,4.240499,11.24986,-4.472067,-12.438856,-0.953817,-0.293582,-0.240608,0.401014,0.086604,-0.396484,0.361918,-346.800079,-270.136292,-240.962204,-320.941772,-376.022339,-295.918365,4.184284,3.024399,11.490571,5.987266,1.30678,10.637245,99,F,5.213565,1,7,-1,1,1,0.571,0.429,1.13,0,319.452,191.153,277.998,210.182,0.061286
-0.468417,0.572613,-0.080933,-0.185137,0.527464,-0.36559,0,0,0,0,0,1,0.345067,-0.524948,-0.110821,0.22805,-0.48786,0.550512,1.771034,-7.202235,-2.868208,0.981192,-7.677094,14.995311,4.046779,-5.348342,-8.483688,1.392674,-5.348342,13.740919,-0.240608,0.361918,0.086604,-0.293582,0.401014,-0.396484,-1321.211182,-83.020905,767.946289,316.398621,-869.741516,-470.338531,7.512297,12.691474,10.731683,5.871641,12.691474,-0.898576,99,P,6.600435,3,22,-1,3,0,0.364,0.213,-1.01,0,698.366,472.836,544.545,435.002,0.009682
0.478856,-0.224936,-0.272606,-0.316805,0.662288,-0.326796,0.270293,0.126661,0,-0,0.95441,0,0,0,0,0,-1,0,8.654113,-3.840416,5.302915,-12.515802,14.914991,-12.515802,-7.845258,-1.161502,7.985027,7.985027,-14.948322,7.985027,0.43998,0.146078,-0.212877,-0.212877,0.43998,-0.273855,266.073425,4613.411133,-2396.244629,-2396.244629,2319.096436,-2396.244629,1.316499,4.895149,12.552151,12.552151,-2.858981,12.552151,101,D,3.846947,1,3,-1,1,0,0.667,0.611,-0.44,0,112.205,57.773,99.632,60.473,0.203667
-0.288664,0.576486,-0.288664,-0.288685,-0.288686,0.578213,0.05924,-0.03708,0.05924,-0.434582,-0.473907,0.760366,-0.288673,0.577097,-0.288672,-0.288678,-0.288678,0.577603,-1.366591,-10.836078,-1.366591,11.831829,12.573509,-10.836078,9.236927,-11.241713,9.236927,0.497057,3.512515,-11.241713,-0.16861,0.475695,-0.036959,-0.250202,-0.279541,0.475695,-2535.307861,921.158936,-295.482239,-1348.264648,2338.88501,921.158936,-2.275498,10.157513,-2.275498,-7.12345,-8.935202,10.157513,98,D,6.72489,3,20,1,7,2,0.25,0.077,-4.07,0.24,730.171,427.536,608.533,414.426,0.00385
-0.059182,0.459695,-0.376325,-0.189336,-0.462436,0.627585,-0.1547,-0.014709,-0.247,-0.181017,-0.294422,0.891847,-0.132071,0.421472,-0.362322,-0.178758,-0.426436,0.678115,-0.265912,9.735737,-10.478069,-1.249143,-12.029428,14.286815,-9.491653,2.056028,-6.614906,-3.4517,4.735312,12.76692,0.019222,0.461085,-0.23271,-0.189129,-0.320592,0.461085,-487.62204,318.74884,-68.634865,-265.302002,122.079216,541.080505,8.314594,2.810998,10.698279,8.287879,11.548438,-0.634087,101,D,5.302637,2,22,0,4,2,0.364,0.242,0.86,0,992.86,569.814,827.53,603.37,0.011
0.430521,-0.399946,0.451866,-0.034805,-0.641617,0.193982,0.113968,0.800413,0.113968,-0.572476,0.075046,0,0.535559,-0.163855,0.543309,-0.129658,-0.574256,-0.211097,2.933631,-8.448814,-0.270026,0.261128,-9.829829,15.353911,0.360958,-9.335433,0.360958,5.612832,10.73022,-7.729537,0.099968,-0.332185,0.127201,0.210964,-0.453778,0.507664,-72.113892,-433.023712,318.226196,-249.793121,111.107658,-640.169922,8.984262,10.754761,8.984262,5.953166,10.997406,-0.785913,99,F,5.887521,1,10,-1,5,1,0.5,0.288,-2.72,0.51,305.41,185.375,248.668,194.155,0.0288
