@relation 'current-weka.filters.unsupervised.attribute.Reorder-R1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,27,28,29,26-weka.filters.unsupervised.attribute.Reorder-R1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,27,28,29,26'

@attribute local_AA_bin numeric
@attribute local_CA_bin numeric
@attribute global_AA_bin numeric
@attribute global_CA_bin numeric
@attribute local_AA_nom numeric
@attribute local_CA_nom numeric
@attribute global_AA_nom numeric
@attribute global_CA_nom numeric
@attribute length numeric
@attribute total_charge numeric
@attribute nr_charged numeric
@attribute Happiness_mean numeric
@attribute Nr_sad numeric
@attribute identity numeric
@attribute similarity numeric
@attribute Hydropathy numeric
@attribute Hydropathy_diff numeric
@attribute Access numeric
@attribute Relacc numeric
@attribute Scacc numeric
@attribute Screlacc numeric
@attribute Access_avg numeric
@attribute Relacc_avg numeric
@attribute Scacc_avg numeric
@attribute Screlacc_avg numeric
@attribute global_AA numeric
@attribute global_CA numeric
@attribute local_AA numeric
@attribute local_CA numeric

@data
0,0,0,0,1,1,1,1,12,-1,3,0.844,0,0.917,0.955,-1.59,0,453.686,262.749,352.825,228.332,37.807167,21.89575,29.402083,19.027667,0.436,0.314,0.335,0.12
0,0,0,0,1,1,1,1,10,-3,3,0.882,0,0.9,0.931,-1.18,0,310.823,170.566,250.979,170.448,31.0823,17.0566,25.0979,17.0448,0.442,0.256,0.355,0.182
0,0,0,0,1,1,1,1,8,1,5,0.681,2,0.875,0.911,-5.09,0,276.91,142.567,227.837,136.392,34.61375,17.820875,28.479625,17.049,0.547,0.177,0.455,0.134
0,0,0,0,1,1,1,1,10,-1,1,0.94,0,0.9,0.925,-0.16,0,345.967,220.427,288.031,237.739,34.5967,22.0427,28.8031,23.7739,0.804,0.677,0.511,0.2
0,0,0,0,1,1,1,1,13,1,3,0.87,0,0.769,0.764,-0.41,0.38,299.187,216.443,220.362,185.025,23.014385,16.649462,16.950923,14.232692,0.63,0.641,0.533,0.237
0,0,0,0,1,1,1,1,9,0,2,0.84,0,0.889,0.87,0.1,0,501.582,243.866,460.869,269.284,55.731333,27.096222,51.207667,29.920444,0.817,0.535,0.539,0.209
0,0,0,0,1,1,1,1,10,-1,1,0.941,0,0.9,0.925,-0.16,0,361.211,230.284,304.109,251.474,36.1211,23.0284,30.4109,25.1474,0.906,0.589,0.544,0.154
0,0,0,0,1,1,1,1,3,0,0,0.959,0,0.667,0.588,-0.08,0,182.719,124.288,146.168,117.725,60.906333,41.429333,48.722667,39.241667,0.898,0.873,0.546,0.045
0,0,0,0,1,1,1,1,11,1,5,0.774,2,0.909,0.902,-3.98,0,429.665,244.425,353.993,245.691,39.060455,22.220455,32.181182,22.335545,0.737,0.564,0.554,0.204
0,0,0,0,1,1,1,1,20,-1,5,0.854,0,0.95,0.952,-2.9,0,719.836,390.811,577.382,377.372,35.9918,19.54055,28.8691,18.8686,0.885,0.724,0.57,0.231
