1,2,3,4,5,tip_pos,protrusion,length,total_charge,nr_charged,Happiness_mean,Nr_sad,identity,similarity,Hydropathy,Hydropathy_diff,Access,Relacc,Scacc,Screlacc,Access_avg,Relacc_avg,Scacc_avg,Screlacc_avg,simlength,local_CA_nom
1.0,1.0,0.5833333333333334,0.0,0.0,101,4.392643,15,1,3,0.8959999999999999,0,0.333,0.139,-0.12,0.47,240.604,156.356,231.338,194.748,16.040267,10.423733,15.422533,12.9832,0.009267,>2<3
1.0,1.0,0.3333333333333333,0.0,0.0,98,7.894082000000001,7,-1,1,0.91,0,0.28600000000000003,0.158,0.62,0.0,120.164,86.105,68.987,41.456,17.166286,12.300714,9.855286,5.922286,0.022571,>2<3
0.0,0.0,0.0,0.0,0.0,99,5.626354,8,1,5,0.7190000000000001,2,0.875,0.911,-5.09,0.0,443.084,232.36900000000003,391.791,247.983,55.3855,29.046125,48.973875,30.997875,0.113875,>0<1
1.0,1.0,1.0,0.5833333333333334,0.0,101,4.991963,13,-3,5,0.8220000000000001,0,0.385,0.247,-2.14,0.19,197.343,122.979,151.05,111.545,15.180231,9.459923,11.619231,8.580385,0.019,>3<4
0.75,0.0,0.0,0.0,0.0,97,4.721465,6,-2,2,0.887,0,0.667,0.5710000000000001,-0.98,0.0,183.004,109.303,148.423,109.651,30.500667,18.217167,24.737167000000003,18.275167,0.095167,>0<1
0.125,0.0,0.0,0.0,0.0,101,5.654081,24,-5,5,0.877,0,0.875,0.885,-0.58,0.01,617.944,373.784,588.3009999999998,471.226,25.747667,15.574333,24.512542,19.634417000000006,0.036875,>0<1
1.0,1.0,1.0,0.0,0.0,99,8.561862,8,-1,1,0.904,0,0.25,0.17800000000000002,-0.27,0.0,235.138,148.014,178.541,144.967,29.39225,18.50175,22.317625,18.120875,0.02225,>3<4
1.0,0.4166666666666667,0.0,0.0,0.0,99,5.9638339999999985,9,-1,1,0.905,0,0.556,0.491,0.53,0.0,340.478,243.646,253.337,178.38299999999995,37.830889,27.071778,28.148556,19.820333,0.054555999999999986,>1<2
0.375,0.0,0.0,0.0,0.0,96,5.623975,5,1,3,0.868,0,0.6,0.516,-1.01,0.38,211.93400000000003,135.44899999999998,129.092,97.986,42.3868,27.0898,25.8184,19.5972,0.1032,>0<1
1.0,0.8333333333333334,0.0,0.0,0.0,101,5.272506,10,-1,1,0.8740000000000001,0,0.6,0.684,-0.36,0.0,185.176,122.401,145.371,114.034,18.5176,12.2401,14.5371,11.4034,0.0684,>1<2
1.0,0.16666666666666666,0.0,0.0,0.0,99,5.356891,8,-2,2,0.905,0,0.75,0.698,-1.23,0.0,222.991,120.373,221.243,152.19,27.873875,15.046625,27.655375,19.02375,0.08725,>1<2
1.0,1.0,1.0,0.5,0.0,97,4.818763,12,-1,1,0.9,0,0.667,0.743,0.96,0.0,338.096,201.52,287.348,220.296,28.174667,16.793332999999997,23.945667,18.358,0.061916999999999986,>3<4
1.0,1.0,1.0,0.25,0.0,100,4.099621,11,0,0,0.982,0,0.545,0.485,2.28,0.0,132.058,72.91,82.007,47.63,12.005273,6.628182000000002,7.4551820000000015,4.33,0.044091000000000005,>3<4
1.0,1.0,0.4166666666666667,0.0,0.0,101,5.232699,11,-1,1,0.905,0,0.636,0.524,-0.35,0.0,292.32,199.687,222.914,189.921,26.574545,18.153364,20.264909,17.265545,0.047636000000000005,>2<3
0.875,0.3333333333333333,0.0,0.0,0.0,97,4.7336730000000005,5,-1,1,0.8809999999999999,0,0.6,0.5,0.26,0.0,116.794,59.713,107.774,66.195,23.3588,11.9426,21.5548,13.239,0.1,>1<2
1.0,1.0,0.0,0.0,0.0,98,6.884903,6,-2,2,0.795,0,0.333,0.211,0.09,0.19,307.65,181.764,236.232,186.88,51.275,30.294,39.372,31.146667,0.035167000000000004,>2<3
1.0,1.0,1.0,1.0,1.0,98,6.573842999999999,20,2,4,0.866,1,0.25,0.078,-2.29,0.24,152.055,102.322,147.916,159.14700000000005,7.60275,5.1161,7.3958,7.95735,0.0039,>4<50
1.0,0.5,0.0,0.0,0.0,101,5.360863,9,-1,1,0.911,0,0.667,0.562,2.34,0.0,168.32299999999995,96.967,134.836,93.273,18.702556,10.774111,14.981778,10.363667,0.06244400000000001,>1<2
